"X","Y_Original","Y_Gaussian","Y_Lorentzian","Y_Pseudo_Voigt"
"2.85939","0.01182","0.010938","0.011483","0.010978"
"2.87208","0.01179","0.010837","0.011369","0.010877"
"2.88478","0.01169","0.01074","0.01126","0.010779"
"2.89747","0.01161","0.010647","0.011155","0.010684"
"2.91016","0.0115","0.010557","0.011054","0.010594"
"2.92285","0.01143","0.010471","0.010957","0.010507"
"2.93554","0.01144","0.010389","0.010864","0.010424"
"2.94823","0.01131","0.01031","0.010774","0.010344"
"2.96092","0.01112","0.010234","0.010689","0.010268"
"2.97361","0.01109","0.010162","0.010606","0.010195"
"2.9863","0.01103","0.010092","0.010528","0.010125"
"2.99899","0.01101","0.010026","0.010453","0.010058"
"3.01168","0.01099","0.009963","0.01038","0.009994"
"3.02437","0.01104","0.009903","0.010312","0.009933"
"3.03706","0.01106","0.009845","0.010246","0.009875"
"3.04975","0.01101","0.00979","0.010183","0.009819"
"3.06244","0.01088","0.009738","0.010123","0.009767"
"3.07513","0.01085","0.009689","0.010066","0.009717"
"3.08781","0.01082","0.009641","0.010012","0.009669"
"3.1005","0.0108","0.009597","0.00996","0.009624"
"3.11319","0.01073","0.009555","0.009911","0.009581"
"3.12588","0.01071","0.009515","0.009864","0.00954"
"3.13856","0.01071","0.009477","0.009819","0.009502"
"3.15125","0.0107","0.009441","0.009777","0.009466"
"3.16394","0.01069","0.009407","0.009737","0.009432"
"3.17662","0.01062","0.009376","0.0097","0.0094"
"3.18931","0.01065","0.009346","0.009664","0.009369"
"3.202","0.01059","0.009318","0.00963","0.009341"
"3.21468","0.01059","0.009292","0.009599","0.009314"
"3.22737","0.01052","0.009267","0.009569","0.00929"
"3.24005","0.0105","0.009244","0.009541","0.009266"
"3.25274","0.01049","0.009223","0.009514","0.009245"
"3.26542","0.01052","0.009203","0.009489","0.009224"
"3.27811","0.0105","0.009185","0.009466","0.009206"
"3.29079","0.01043","0.009168","0.009445","0.009189"
"3.30347","0.0104","0.009152","0.009424","0.009173"
"3.31616","0.01039","0.009138","0.009406","0.009158"
"3.32884","0.0104","0.009125","0.009388","0.009145"
